jd,jd_norm,UTC
59509.3906481,1305.210705999998,2021-10-22 09:22:31.996
59517.4707755,1313.2908333999949,2021-10-30 11:17:55.003
59521.3378935,1317.1579513999968,2021-11-03 08:06:33.998
59523.3573032,1319.1773610999953,2021-11-05 08:34:30.996
59525.463669,1321.2837268999938,2021-11-07 11:07:41.002
59527.3198032,1323.1398610999968,2021-11-09 07:40:30.996
59530.4008333,1326.2208911999987,2021-11-12 09:37:11.997
59532.4022917,1328.2223495999933,2021-11-14 09:39:18.003
59537.4192477,1333.2393056,2021-11-19 10:03:43.001
59540.3975231,1336.2175809999972,2021-11-22 09:32:25.996
59623.2130093,1419.0330671999982,2022-02-13 05:06:44.004
59625.1903935,1421.0104513999977,2022-02-15 04:34:09.998
59636.1866667,1432.0067245999962,2022-02-26 04:28:48.003
59638.1506944,1433.970752299996,2022-02-28 03:36:59.996
59840.4688079,1636.2888657999938,2022-09-18 11:15:05.003
59840.4985764,1636.318634299998,2022-09-18 11:57:57.001
59843.4716319,1639.2916897999967,2022-09-21 11:19:08.996
59846.4867708,1642.3068286999987,2022-09-24 11:40:56.997
59848.4582292,1644.2782870999945,2022-09-26 10:59:51.003
59850.4686343,1646.2886921999961,2022-09-28 11:14:50.004
59853.4822106,1649.302268499996,2022-10-01 11:34:22.996
59855.4606829,1651.2807407999935,2022-10-03 11:03:23.003
59857.4607523,1653.280810199998,2022-10-05 11:03:28.999
59859.4622338,1655.282291699994,2022-10-07 11:05:37.000
59861.4639236,1657.283981499997,2022-10-09 11:08:02.999
59863.3953588,1659.2154166999971,2022-10-11 09:29:19.000
59872.3407176,1668.1607754999932,2022-10-20 08:10:38.001
59874.4585648,1670.278622699996,2022-10-22 11:00:19.999
59878.4201736,1674.2402315,2022-10-26 10:05:02.999
59882.4186574,1678.2387152999945,2022-10-30 10:02:51.999
59887.3753009,1683.195358799996,2022-11-04 09:00:25.998
59889.4005787,1685.2206365999955,2022-11-06 09:36:50.000
59897.4468634,1693.2669212999972,2022-11-14 10:43:28.998
59903.3594792,1699.179537099997,2022-11-20 08:37:39.003
59905.3806713,1701.200729199998,2022-11-22 09:08:10.000
59910.3812963,1706.2013541999986,2022-11-27 09:09:04.000
59922.3362269,1718.1562847999958,2022-12-09 08:04:10.004
59928.323206,1724.1432638999977,2022-12-15 07:45:24.998
59932.333206,1728.1532638999997,2022-12-19 07:59:48.998
59934.3213426,1730.141400499997,2022-12-21 07:42:44.001
59936.3161227,1732.1361805999986,2022-12-23 07:35:13.001
59940.2841782,1736.1042361,2022-12-27 06:49:12.996
59953.1276389,1748.9476967999944,2023-01-09 03:03:48.001
59958.2740394,1754.094097299996,2023-01-14 06:34:37.004
59966.2364468,1762.0565046999982,2023-01-22 05:40:29.004
59968.1812037,1764.001261599995,2023-01-24 04:20:56.000
59970.2562616,1766.0763194999963,2023-01-26 06:09:01.002
59972.2365162,1768.0565740999955,2023-01-28 05:40:35.000
59979.2370833,1775.057141199999,2023-02-04 05:41:23.997
59981.1240741,1776.944131999997,2023-02-06 02:58:40.002
59991.1916204,1787.0116782999976,2023-02-16 04:35:56.003
60013.2628356,1809.0828934999954,2023-03-10 06:18:28.996
60020.1478125,1815.9678703999962,2023-03-17 03:32:51.000
60030.160162,1825.9802198999969,2023-03-27 03:50:37.997
60191.4472454,1987.2673032999955,2023-09-04 10:44:02.003
60194.4450579,1990.2651157999935,2023-09-07 10:40:53.003
60196.4851736,1992.305231499995,2023-09-09 11:38:38.999
60200.495081,1996.3151388999977,2023-09-13 11:52:54.998
60202.4241088,1998.2441666999948,2023-09-15 10:10:43.000
60204.4953472,2000.3154050999947,2023-09-17 11:53:17.998
60206.490625,2002.3106828999953,2023-09-19 11:46:30.000
60212.4370023,2008.2570601999978,2023-09-25 10:29:16.999
60215.5056019,2011.3256597999934,2023-09-28 12:08:04.004
60221.4053588,2017.2254166999992,2023-10-04 09:43:43.000
60223.4070833,2019.2271411999973,2023-10-06 09:46:11.997
60225.4361806,2021.2562384999983,2023-10-08 10:28:06.004
60231.4453935,2027.265451399995,2023-10-14 10:41:21.998
60233.5033218,2029.3233796999994,2023-10-16 12:04:47.004
60235.4908333,2031.3108911999952,2023-10-18 11:46:47.997
60239.4626736,2035.2827314999959,2023-10-22 11:06:14.999
60244.3987963,2040.2188542000004,2023-10-27 09:34:16.000
60246.443287,2042.2633448999986,2023-10-29 10:38:19.997
