jd,jd_norm,UTC
58534.24754999997,202.82665000017732,2019-02-20 05:56:28.320
58536.10963999992,204.68874000012875,2019-02-22 02:37:52.896
58540.15303999977,208.73213999997824,2019-02-26 03:40:22.656
58541.138970000204,209.71807000041008,2019-02-27 03:20:07.008
58542.14197999984,210.72108000004664,2019-02-28 03:24:27.072
58543.14197999984,211.72108000004664,2019-03-01 03:24:27.072
58544.22196999984,212.801070000045,2019-03-02 05:19:38.208
58546.21032000007,214.78942000027746,2019-03-04 05:02:51.648
58556.1034599999,224.68256000010297,2019-03-14 02:28:58.944
58558.09024999989,226.66935000009835,2019-03-16 02:09:57.600
58559.0925400001,227.67164000030607,2019-03-17 02:13:15.456
58560.09161,228.6707100002095,2019-03-18 02:11:55.104
58561.082799999975,229.66190000018105,2019-03-19 01:59:13.920
58563.08014999982,231.65925000002608,2019-03-21 01:55:24.960
58570.07048000023,238.64958000043407,2019-03-28 01:41:29.472
58579.78945000004,248.36855000024661,2019-04-06 18:56:48.480
58581.01218000008,249.5912800002843,2019-04-08 00:17:32.352
58583.10147000011,251.68057000031695,2019-04-10 02:26:07.008
58585.128000000026,253.70710000023246,2019-04-12 03:04:19.200
58586.99607999995,255.5751800001599,2019-04-13 23:54:21.312
58588.779839999974,257.35894000018016,2019-04-15 18:42:58.176
58590.002119999845,258.58122000005096,2019-04-17 00:03:03.168
58593.98953999998,262.56864000018686,2019-04-20 23:44:56.256
58596.98957999982,265.5686800000258,2019-04-23 23:44:59.712
58598.99756000005,267.57666000025347,2019-04-25 23:56:29.184
58600.979319999926,269.5584200001322,2019-04-27 23:30:13.248
58601.97011000011,270.54921000031754,2019-04-28 23:16:57.504
58604.96449999977,273.5435999999754,2019-05-01 23:08:52.800
58607.95899000019,276.53809000039473,2019-05-04 23:00:56.736
58692.17835999979,360.75745999999344,2019-07-28 04:16:50.304
58693.4197999998,361.99890000000596,2019-07-29 10:04:30.720
58696.434210000094,365.0133100003004,2019-08-01 10:25:15.744
58700.43403000012,369.0131300003268,2019-08-05 10:25:00.192
58701.43253999995,370.01164000015706,2019-08-06 10:22:51.456
58703.43043999979,372.0095399999991,2019-08-08 10:19:50.016
58705.16757000005,373.7466700002551,2019-08-10 04:01:18.048
58705.4235700001,374.00267000030726,2019-08-10 10:09:56.448
58707.41736999992,375.9964700001292,2019-08-12 10:01:00.768
58708.16124999989,376.7403500000946,2019-08-13 03:52:12.000
58710.16718999995,378.74629000015557,2019-08-15 04:00:45.216
58710.40708999988,378.9861900000833,2019-08-15 09:46:12.576
58711.404260000214,379.98336000042036,2019-08-16 09:42:08.064
58712.40446999995,380.98357000015676,2019-08-17 09:42:26.208
58715.4213899998,384.0004900000058,2019-08-20 10:06:48.096
58722.3618999999,390.94100000010803,2019-08-27 08:41:08.160
58724.39610000001,392.97520000021905,2019-08-29 09:30:23.040
58725.40879999986,393.98790000006557,2019-08-30 09:48:40.320
58730.38873999985,398.96784000005573,2019-09-04 09:19:47.136
58736.616179999895,405.1952800001018,2019-09-10 14:47:17.952
58747.37300000014,415.9521000003442,2019-09-21 08:57:07.200
58750.38740999997,418.966510000173,2019-09-24 09:17:52.224
58751.33332000021,419.9124200004153,2019-09-25 07:59:58.848
58753.39199999999,421.97110000019893,2019-09-27 09:24:28.800
58755.530090000015,424.10919000022113,2019-09-29 12:43:19.776
58756.337090000045,424.91619000025094,2019-09-30 08:05:24.576
58757.567669999786,426.1467699999921,2019-10-01 13:37:26.688
58762.002710000146,430.58181000035256,2019-10-06 00:03:54.144
